loyalty_number,cluster_id,anomaly_label
100018,1,0
100102,1,0
100140,1,0
100214,1,0
100272,1,0
100301,1,0
100364,1,0
100380,1,0
100428,1,0
100504,2,0
100550,1,0
100585,1,0
100590,0,1
100642,1,0
100644,1,0
100646,1,0
100727,1,0
100737,1,0
100753,1,0
100816,1,0
100853,1,0
100883,1,0
100890,1,0
101018,1,0
101148,1,0
101356,2,0
101363,1,0
101487,1,0
101515,1,0
101540,1,0
101544,1,0
101547,1,0
101581,1,0
101594,1,0
101644,2,0
101663,1,0
101664,2,0
101709,1,0
101768,2,0
101876,2,0
101895,1,0
101902,1,1
101945,1,0
102168,2,0
102184,1,0
102207,2,0
102299,1,0
102308,2,0
102311,1,0
102376,0,1
102464,2,0
102615,2,0
102726,1,0
102730,2,0
102740,2,0
102788,0,1
102851,1,0
102877,1,0
102982,2,0
103043,1,0
103151,1,0
103217,1,0
103304,1,0
103340,1,0
103352,2,0
103359,1,0
103362,2,0
103383,2,0
103436,1,0
103490,1,0
103502,2,0
103536,1,0
103699,2,0
103731,1,0
103758,2,0
103823,1,0
103860,1,0
103862,1,1
103916,1,0
103969,1,0
103970,1,0
103975,2,0
103985,2,0
104103,1,0
104267,0,1
104353,1,0
104431,1,0
104541,1,0
104586,1,0
104673,1,0
104732,1,0
104739,2,0
104849,1,0
104960,1,0
105063,0,1
105073,0,1
105074,1,0
105145,2,0
105193,2,0
105214,1,0
105251,2,0
105335,1,0
105352,2,0
105552,1,0
105688,1,0
105700,2,0
105712,1,0
105789,1,0
105835,0,0
105841,0,1
105921,1,0
105932,1,0
105992,1,0
106001,1,1
106037,1,0
106038,1,0
106046,0,1
106048,2,0
106218,1,0
106397,1,0
106444,1,0
106477,2,0
106509,2,0
106589,2,0
106592,1,0
106616,2,0
106623,2,0
106637,1,0
106689,1,0
106754,1,0
106757,1,0
106776,1,0
106838,1,0
106839,1,0
106936,1,0
106946,1,0
106964,2,0
106978,1,0
106979,1,0
107037,1,0
107067,1,0
107119,1,0
107141,1,0
107203,1,0
107212,1,0
107296,2,0
107385,1,0
107420,2,0
107461,2,0
107466,1,0
107487,1,0
107519,0,1
107571,1,0
107649,1,0
107719,1,0
107730,1,0
107835,2,0
107902,1,0
107993,1,0
108264,1,1
108346,2,0
108367,2,0
108381,1,0
108430,1,0
108440,1,0
108462,1,0
108481,2,0
108528,1,0
108625,1,0
108666,1,0
108857,2,0
108896,2,0
108907,1,0
109022,1,0
